Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],thetao [degrees_C],time [hours since 1950-01-01 00:00:00]
global-analysis-forecast-phy-001-024_1650864189395.nc,39,B,2022-04-01T12:00:00,99.0,0.66667,0,0.49402,0.66667,99.0,31.390454,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,41,B,2022-04-01T12:00:00,97.5,0.75,0,0.49402,0.75,97.5,30.510056,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,42,B,2022-04-01T12:00:00,97.58334,0.75,0,0.49402,0.75,97.58334,30.639698,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,46,B,2022-04-01T12:00:00,97.91666,0.75,0,0.49402,0.75,97.91666,30.950255,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,47,B,2022-04-01T12:00:00,98.0,0.75,0,0.49402,0.75,98.0,30.859432,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,48,B,2022-04-01T12:00:00,98.08334,0.75,0,0.49402,0.75,98.08334,30.832331,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,49,B,2022-04-01T12:00:00,98.16666,0.75,0,0.49402,0.75,98.16666,30.797906,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,50,B,2022-04-01T12:00:00,98.25,0.75,0,0.49402,0.75,98.25,30.767144,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,51,B,2022-04-01T12:00:00,98.33334,0.75,0,0.49402,0.75,98.33334,30.831599,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,52,B,2022-04-01T12:00:00,98.41666,0.75,0,0.49402,0.75,98.41666,30.909238,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,53,B,2022-04-01T12:00:00,98.5,0.75,0,0.49402,0.75,98.5,30.98175,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,54,B,2022-04-01T12:00:00,98.58334,0.75,0,0.49402,0.75,98.58334,31.038148,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,55,B,2022-04-01T12:00:00,98.66666,0.75,0,0.49402,0.75,98.66666,31.112857,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,56,B,2022-04-01T12:00:00,98.75,0.75,0,0.49402,0.75,98.75,31.128971,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,57,B,2022-04-01T12:00:00,98.83334,0.75,0,0.49402,0.75,98.83334,31.168523,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,58,B,2022-04-01T12:00:00,98.91666,0.75,0,0.49402,0.75,98.91666,31.244697,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,59,B,2022-04-01T12:00:00,99.0,0.75,0,0.49402,0.75,99.0,31.471755,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,61,B,2022-04-01T12:00:00,97.5,0.83333,0,0.49402,0.83333,97.5,30.54741,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,62,B,2022-04-01T12:00:00,97.58334,0.83333,0,0.49402,0.83333,97.58334,30.647023,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,66,B,2022-04-01T12:00:00,97.91666,0.83333,0,0.49402,0.83333,97.91666,31.072573,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,67,B,2022-04-01T12:00:00,98.0,0.83333,0,0.49402,0.83333,98.0,30.903378,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,68,B,2022-04-01T12:00:00,98.08334,0.83333,0,0.49402,0.83333,98.08334,30.874081,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,69,B,2022-04-01T12:00:00,98.16666,0.83333,0,0.49402,0.83333,98.16666,30.825739,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,70,B,2022-04-01T12:00:00,98.25,0.83333,0,0.49402,0.83333,98.25,30.78985,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,71,B,2022-04-01T12:00:00,98.33334,0.83333,0,0.49402,0.83333,98.33334,30.862362,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,72,B,2022-04-01T12:00:00,98.41666,0.83333,0,0.49402,0.83333,98.41666,30.940001,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,73,B,2022-04-01T12:00:00,98.5,0.83333,0,0.49402,0.83333,98.5,31.008118,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,74,B,2022-04-01T12:00:00,98.58334,0.83333,0,0.49402,0.83333,98.58334,31.100406,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,75,B,2022-04-01T12:00:00,98.66666,0.83333,0,0.49402,0.83333,98.66666,31.187567,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,76,B,2022-04-01T12:00:00,98.75,0.83333,0,0.49402,0.83333,98.75,31.17951,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,77,B,2022-04-01T12:00:00,98.83334,0.83333,0,0.49402,0.83333,98.83334,31.217597,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,78,B,2022-04-01T12:00:00,98.91666,0.83333,0,0.49402,0.83333,98.91666,31.295236,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,79,B,2022-04-01T12:00:00,99.0,0.83333,0,0.49402,0.83333,99.0,31.399976,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,86,B,2022-04-01T12:00:00,97.91666,0.91667,0,0.49402,0.91667,97.91666,30.890927,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,87,B,2022-04-01T12:00:00,98.0,0.91667,0,0.49402,0.91667,98.0,30.904111,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,88,B,2022-04-01T12:00:00,98.08334,0.91667,0,0.49402,0.91667,98.08334,30.894589,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,89,B,2022-04-01T12:00:00,98.16666,0.91667,0,0.49402,0.91667,98.16666,30.833064,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,90,B,2022-04-01T12:00:00,98.25,0.91667,0,0.49402,0.91667,98.25,30.792779,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,91,B,2022-04-01T12:00:00,98.33334,0.91667,0,0.49402,0.91667,98.33334,30.891659,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,92,B,2022-04-01T12:00:00,98.41666,0.91667,0,0.49402,0.91667,98.41666,30.985412,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,93,B,2022-04-01T12:00:00,98.5,0.91667,0,0.49402,0.91667,98.5,31.049867,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,94,B,2022-04-01T12:00:00,98.58334,0.91667,0,0.49402,0.91667,98.58334,31.153874,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,95,B,2022-04-01T12:00:00,98.66666,0.91667,0,0.49402,0.91667,98.66666,31.211005,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,96,B,2022-04-01T12:00:00,98.75,0.91667,0,0.49402,0.91667,98.75,31.18244,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,97,B,2022-04-01T12:00:00,98.83334,0.91667,0,0.49402,0.91667,98.83334,31.262276,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,98,B,2022-04-01T12:00:00,98.91666,0.91667,0,0.49402,0.91667,98.91666,31.394848,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,106,B,2022-04-01T12:00:00,97.91666,1.0,0,0.49402,1.0,97.91666,30.953917,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,107,B,2022-04-01T12:00:00,98.0,1.0,0,0.49402,1.0,98.0,30.952452,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,108,B,2022-04-01T12:00:00,98.08334,1.0,0,0.49402,1.0,98.08334,30.916562,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,109,B,2022-04-01T12:00:00,98.16666,1.0,0,0.49402,1.0,98.16666,30.851375,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,110,B,2022-04-01T12:00:00,98.25,1.0,0,0.49402,1.0,98.25,30.81109,633324
global-analysis-forecast-phy-001-024_1650864189395.nc,111,B,2022-04-01T12:00:00,98.33334,1.0,0,0.49402,1.0,98.33334,30.933409,633324
