Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,37,B,2022-04-01T12:00:00,98.83334,0.66667,0,0.49402,0.66667,98.83334,633324,0.014649,-0.133671
global-analysis-forecast-phy-001-024_1650864290144.nc,38,B,2022-04-01T12:00:00,98.91666,0.66667,0,0.49402,0.66667,98.91666,633324,0.015259,-0.097049
global-analysis-forecast-phy-001-024_1650864290144.nc,39,B,2022-04-01T12:00:00,99.0,0.66667,0,0.49402,0.66667,99.0,633324,0.014039,-0.045778
global-analysis-forecast-phy-001-024_1650864290144.nc,41,B,2022-04-01T12:00:00,97.5,0.75,0,0.49402,0.75,97.5,633324,0.159307,-0.18189
global-analysis-forecast-phy-001-024_1650864290144.nc,42,B,2022-04-01T12:00:00,97.58334,0.75,0,0.49402,0.75,97.58334,633324,0.146489,-0.19776
global-analysis-forecast-phy-001-024_1650864290144.nc,46,B,2022-04-01T12:00:00,97.91666,0.75,0,0.49402,0.75,97.91666,633324,-0.005493,-0.137944
global-analysis-forecast-phy-001-024_1650864290144.nc,47,B,2022-04-01T12:00:00,98.0,0.75,0,0.49402,0.75,98.0,633324,-0.004883,-0.223395
global-analysis-forecast-phy-001-024_1650864290144.nc,48,B,2022-04-01T12:00:00,98.08334,0.75,0,0.49402,0.75,98.08334,633324,0.010376,-0.234382
global-analysis-forecast-phy-001-024_1650864290144.nc,49,B,2022-04-01T12:00:00,98.16666,0.75,0,0.49402,0.75,98.16666,633324,0.023194,-0.21363
global-analysis-forecast-phy-001-024_1650864290144.nc,50,B,2022-04-01T12:00:00,98.25,0.75,0,0.49402,0.75,98.25,633324,0.026246,-0.193487
global-analysis-forecast-phy-001-024_1650864290144.nc,51,B,2022-04-01T12:00:00,98.33334,0.75,0,0.49402,0.75,98.33334,633324,0.023194,-0.178838
global-analysis-forecast-phy-001-024_1650864290144.nc,52,B,2022-04-01T12:00:00,98.41666,0.75,0,0.49402,0.75,98.41666,633324,0.017701,-0.166021
global-analysis-forecast-phy-001-024_1650864290144.nc,53,B,2022-04-01T12:00:00,98.5,0.75,0,0.49402,0.75,98.5,633324,0.011597,-0.14832
global-analysis-forecast-phy-001-024_1650864290144.nc,54,B,2022-04-01T12:00:00,98.58334,0.75,0,0.49402,0.75,98.58334,633324,0.005493,-0.140996
global-analysis-forecast-phy-001-024_1650864290144.nc,55,B,2022-04-01T12:00:00,98.66666,0.75,0,0.49402,0.75,98.66666,633324,0.003052,-0.14832
global-analysis-forecast-phy-001-024_1650864290144.nc,56,B,2022-04-01T12:00:00,98.75,0.75,0,0.49402,0.75,98.75,633324,0.004273,-0.151982
global-analysis-forecast-phy-001-024_1650864290144.nc,57,B,2022-04-01T12:00:00,98.83334,0.75,0,0.49402,0.75,98.83334,633324,0.006714,-0.139164
global-analysis-forecast-phy-001-024_1650864290144.nc,58,B,2022-04-01T12:00:00,98.91666,0.75,0,0.49402,0.75,98.91666,633324,0.009156,-0.093387
global-analysis-forecast-phy-001-024_1650864290144.nc,59,B,2022-04-01T12:00:00,99.0,0.75,0,0.49402,0.75,99.0,633324,0.010987,-0.054933
global-analysis-forecast-phy-001-024_1650864290144.nc,61,B,2022-04-01T12:00:00,97.5,0.83333,0,0.49402,0.83333,97.5,633324,0.190435,-0.177618
global-analysis-forecast-phy-001-024_1650864290144.nc,62,B,2022-04-01T12:00:00,97.58334,0.83333,0,0.49402,0.83333,97.58334,633324,0.174566,-0.189215
global-analysis-forecast-phy-001-024_1650864290144.nc,66,B,2022-04-01T12:00:00,97.91666,0.83333,0,0.49402,0.83333,97.91666,633324,0.029298,-0.124516
